date,mbr_usd_bbl,mbr_eur_t
2020-03-01,4.255138736024605,28.8583536216515
2020-04-01,5.58722600983476,38.573901415241764
2020-05-01,-0.18311818117146747,-1.2402135166622623
2020-06-01,-0.2668043555171012,-1.789814350790376
2020-07-01,0.8168520762926029,5.348911193063674
2020-08-01,-0.27106517923433376,-1.7187874025483634
2020-09-01,0.03999816612075116,0.25544826890426703
2020-10-01,1.386919447260071,8.8366060240755
2020-11-01,0.7116026622129394,4.520448802316049
2020-12-01,0.19351636660266544,1.171312081404034
2021-01-01,1.3964702318108422,8.617709008268056
2021-02-01,1.1521824486658283,7.148684082510262
2021-03-01,0.5427848842560128,3.431042721988918
2021-04-01,1.2799816556283088,8.056763466292363
2021-05-01,0.9357688921602298,5.777591395697625
2021-06-01,0.6501706231461198,4.00548553652762
2021-07-01,0.8246798974363077,5.2440356813436
2021-08-01,2.9982403577391317,19.106699473964564
2021-09-01,3.8622814024588936,24.61177633274
2021-10-01,5.123808816706473,33.12131953392158
2021-11-01,3.7162833222860807,24.263468550214352
2021-12-01,3.744608095625609,24.846147413005962
2022-01-01,4.515553070530558,29.930166277375303
2022-02-01,4.3952297012701,29.053123073165988
2022-03-01,12.251836982839473,83.50748562709548
2022-04-01,22.471070272327502,156.1621061853466
2022-05-01,19.790253431133678,140.37953833350662
2022-06-01,20.530615390394516,145.6586341386842
2022-07-01,10.491878362807284,77.25949843638804
2022-08-01,11.168953926407003,83.06564753065183
2022-09-01,15.948063726759237,120.82390706751684
2022-10-01,24.782993377318377,189.177566006239
2022-11-01,10.844404983868394,80.05197367113438
2022-12-01,10.523594916520663,74.45843105953308
2023-01-01,16.6063327118783,115.52277827381361
2023-02-01,10.27692338799938,71.85025894752582
2023-03-01,10.211158382185237,71.50992002235725
2023-04-01,3.7223939098139485,25.475302188930282
2023-05-01,4.758599235714999,32.89219682970016
2023-06-01,7.031188343138226,48.61423676446264
2023-07-01,9.388036130863744,63.60611467598468
2023-08-01,17.562938163471454,120.74556948302629
2023-09-01,15.304263929825916,107.38384962484918
2023-10-01,7.909214053335634,56.15855757876738
2023-11-01,9.779917991671025,67.8007405718828
2023-12-01,9.70234581998228,66.82745393870155
2024-01-01,9.185230809244644,63.187501052025056
2024-02-01,11.727604378494878,81.50610408403689
2024-03-01,10.7565609,74.2093055
2024-04-01,6.1197129,42.7394741
2024-05-01,7.0926545,49.1743156
2024-06-01,5.8539928,40.7791032
2024-07-01,5.0733722,35.1139446
2024-08-01,3.6331323,24.8487752
2024-09-01,3.8978641,26.3124956
2024-10-01,4.4464936,30.6065289
2024-11-01,4.6321938,32.6686468
2024-12-01,4.37776852081401,31.36383648724139
2025-01-01,4.5115972,32.662072
2025-02-01,7.6008551,54.7465839
2025-03-01,4.6292257,32.1614271
2025-04-01,4.4235342,29.4629478
2025-05-01,7.7509807,51.5686782
2025-06-01,7.0553644,45.910051
2025-07-01,10.4201267,66.8978731
2025-08-01,9.2325729,59.5419433
2025-09-01,11.9744027,76.5530405
2025-10-01,11.4492449,73.8538106
2025-11-01,16.46983054976842,106.83274942838469
2025-12-01,9.125355503156985,58.49550818794019
2026-01-01,5.0469461,32.282551
2026-02-01,6.5014935,41.2636274
2026-03-01,24.7157702,160.4422953
2026-04-01,18.6835354,119.7273277
2026-05-01,21.2599188,136.4803841
2026-06-01,20.3038313,132.3978117
2026-07-01,36.6854064,240.9657239
2026-08-01,38.0505047,246.1070213
